iter	F1	Logloss
0	0.9009938608	0.4726652804
1	0.9099237947	0.3290075693
2	0.9069152207	0.2842570536
3	0.9308856463	0.2351843572
4	0.9370782589	0.1934931983
5	0.9395164382	0.170184834
6	0.9383684888	0.155441204
7	0.941984279	0.1441780777
8	0.946317706	0.1366990872
9	0.9513934365	0.127897631
10	0.9517700748	0.1275679973
11	0.9536051011	0.1231083597
12	0.9557105283	0.1130305634
13	0.9604576932	0.105953951
14	0.9623160278	0.1032521995
15	0.9643697314	0.1008947042
16	0.9665213116	0.09905250709
17	0.9666745696	0.09825305994
18	0.9668895497	0.09577934768
19	0.9670645355	0.09572045157
20	0.9676027183	0.09499767467
21	0.9687099499	0.09090210915
22	0.9703221607	0.08939635387
23	0.9713073997	0.0874597941
24	0.9713699215	0.08742651748
25	0.9712200983	0.08681694515
26	0.9723422307	0.08489392307
27	0.9731281816	0.08249251487
28	0.9742332073	0.0802561743
29	0.9742289899	0.07957929227
30	0.9742779092	0.07955579805
31	0.9743702234	0.07905408233
32	0.9744513057	0.07864249272
33	0.9747092542	0.07791381661
34	0.9750360133	0.07685185819
35	0.9754613367	0.07543460424
36	0.975649302	0.07506918687
37	0.9761451357	0.07442973956
38	0.9761451357	0.07442972952
39	0.9761783022	0.07412313845
40	0.9764923522	0.07393360149
41	0.976485317	0.07392767515
42	0.9768291896	0.07305322582
43	0.977438322	0.07159617271
44	0.9777268193	0.0713498193
45	0.9780493233	0.07028641029
46	0.9780493233	0.07028639476
47	0.9783924374	0.0695048714
48	0.9785111671	0.0690817268
49	0.9785186796	0.06855501723
50	0.9789640408	0.0680179334
51	0.978938207	0.06799825255
52	0.9791909673	0.06691837604
53	0.9791972574	0.06672413425
54	0.9799680906	0.06564753959
55	0.980055216	0.06516389115
56	0.9801150605	0.06515065726
57	0.980019337	0.06483144423
58	0.980516831	0.06403800119
59	0.9809624156	0.0633648403
60	0.9813783004	0.0628122368
61	0.9814864734	0.06229852166
62	0.9817657235	0.06123907159
63	0.9820707436	0.06089569752
64	0.9822850025	0.06039427579
65	0.9822461357	0.05988246422
66	0.9824081682	0.05982255813
67	0.9826934013	0.05910600934
68	0.9830086402	0.05826668473
69	0.9835330056	0.05746741669
70	0.9836424875	0.05727826932
71	0.9837562037	0.05702298148
72	0.9839618926	0.05670287202
73	0.9844259778	0.05625065378
74	0.9846445737	0.05534586505
75	0.9846776312	0.05500654598
76	0.984739502	0.05473003814
77	0.985124358	0.05417573578
78	0.9854094215	0.05348363634
79	0.9857225806	0.05284845921
80	0.9858634457	0.05232992761
81	0.9859373022	0.05201863656
82	0.986004824	0.05149650857
83	0.9863322485	0.05085218232
84	0.9866128389	0.05015776794
85	0.986906278	0.04955835851
86	0.9871467469	0.04898917128
87	0.9872665832	0.04853154265
88	0.9874082455	0.04785504285
